vi;vi+1;tmin/ti
0.0941672;0.0762947;1.23426;
0.0280225;0.0273501;1.02459;
0.075231;0.0711168;1.05785;
0.00778663;0.00804055;1.03261;
0.0452927;0.0401792;1.12727;
0.0583363;0.0510124;1.14357;
0.119637;0.126365;1.05624;
0.00274217;0.0029115;1.06175;
0.0933653;0.0860405;1.08513;
0.00756183;0.00827711;1.09459;
0.0735126;0.0700011;1.05016;
0.0238311;0.0215168;1.10756;
0.0105702;0.00633593;1.6683;
0.0206519;0.019965;1.0344;
0.00480564;0.00608955;1.26717;
0.0892442;0.0921453;1.03251;
0.021382;0.0200692;1.06542;
0.0190194;0.0191548;1.00712;
0.00198073;0.0018914;1.04723;
0.0139453;0.0143314;1.02769;
0.0335833;0.0354464;1.05548;
0.0123878;0.0119879;1.03336;
0.0638323;0.0531886;1.20011;
0.00238837;0.00211288;1.13039;
0.00806867;0.00640684;1.25938;
0.0133902;0.0114827;1.16612;
0.0178539;0.0162907;1.09596;
0.0713324;0.0690653;1.03283;
0.0204632;0.0208839;1.02056;
0.0359405;0.0320071;1.12289;
0.0194476;0.0187321;1.03819;
0.0117357;0.0113728;1.03191;
0.0154353;0.016414;1.0634;
0.0197091;0.0175682;1.12186;
0.0688848;0.0644723;1.06844;
0.0157884;0.0142271;1.10974;
0.0799487;0.0783074;1.02096;
0.030115;0.0276578;1.08884;
0.0394109;0.0362981;1.08575;
0.0214006;0.0211086;1.01384;
0.0278541;0.0257;1.08382;
0.0259638;0.0253135;1.02569;
0.12186;0.109317;1.11474;
0.0258864;0.0287514;1.11068;
0.00386912;0.00400333;1.03469;
0.0207973;0.0189771;1.09592;
0.0835298;0.0758981;1.10055;
0.10623;0.10032;1.05891;
0.00303572;0.00365511;1.20403;
0.00442291;0.0036753;1.20341;
0.0122924;0.0108894;1.12884;
0.0431358;0.041299;1.04447;
0.0767155;0.069481;1.10412;
0.00631861;0.00563442;1.12143;
0.00339112;0.00247722;1.36892;
0.0154396;0.0202543;1.31184;
0.0773473;0.0740608;1.04438;
0.0482625;0.0449101;1.07465;
0.0664952;0.0593626;1.12015;
0.0598769;0.050721;1.18052;
0.0509873;0.0427557;1.19253;
0.044876;0.044653;1.00499;
0.0773313;0.0704598;1.09752;
0.0624035;0.0592623;1.053;
0.0905387;0.0827293;1.0944;
0.115863;0.101648;1.13984;
0.00269353;0.0026406;1.02004;
0.0210672;0.0222072;1.05411;
0.00831016;0.00866743;1.04299;
0.0447191;0.0425353;1.05134;
0.00259615;0.00307636;1.18497;
0.020773;0.0215391;1.03688;
0.0139631;0.0119889;1.16467;
0.00874748;0.00655126;1.33524;
0.0197323;0.0182026;1.08403;
0.00570178;0.00469042;1.21562;
0.00707699;0.00520577;1.35945;
0.0239444;0.0223128;1.07313;
0.034911;0.0334946;1.04229;
0.00704843;0.00739037;1.04851;
0.133957;0.124135;1.07913;
0.0107013;0.01139;1.06436;
0.00811206;0.00941631;1.16078;
0.0105271;0.00940216;1.11965;
0.0758455;0.0671041;1.13027;
0.0223113;0.022526;1.00962;
0.0955879;0.0924374;1.03408;
0.0107784;0.00902173;1.19471;
0.0282034;0.0282206;1.00061;
0.0120525;0.012416;1.03016;
0.00265809;0.00248818;1.06829;
0.105229;0.0859158;1.2248;
0.0212836;0.0220077;1.03402;
0.0202344;0.0199916;1.01215;
0.107795;0.104523;1.0313;
0.142466;0.122627;1.16178;
0.0388945;0.0327985;1.18586;
0.134934;0.110582;1.22022;
0.0215544;0.0221348;1.02693;
0.0151475;0.0140597;1.07737;
0.0414005;0.0369369;1.12084;
0.0129199;0.0104455;1.23689;
0.110741;0.0974066;1.1369;
0.0319927;0.0320478;1.00172;
0.00916164;0.00869721;1.0534;
0.0167153;0.0160028;1.04453;
0.0223399;0.0200227;1.11573;
0.102293;0.119647;1.16966;
0.0292355;0.027902;1.04779;
0.0421848;0.0418318;1.00844;
0.0494592;0.0384881;1.28505;
0.0922827;0.0805632;1.14547;
0.00432815;0.00359723;1.20319;
0.0509615;0.0476603;1.06926;
0.0289382;0.0301952;1.04344;
0.0129816;0.013542;1.04317;
0.00168493;0.00235308;1.39654;
0.0248915;0.0251684;1.01112;
0.0326922;0.0292294;1.11847;
0.042184;0.0377276;1.11812;
0.0101269;0.00758708;1.33475;
0.113576;0.0993962;1.14266;
0.00924325;0.00809005;1.14255;
0.0688402;0.061988;1.11054;
0.00962216;0.0077923;1.23483;
0.105882;0.0993935;1.06528;
0.0111576;0.0107436;1.03854;
0.00227096;0.0027727;1.22094;
0.0210162;0.0224011;1.0659;
0.113175;0.11953;1.05614;
0.0513346;0.0483247;1.06228;
0.0298424;0.0260912;1.14377;
0.0212707;0.0198874;1.06956;
0.03042;0.0339195;1.11504;
0.0853285;0.0830138;1.02788;
0.0154344;0.0145171;1.06319;
0.10016;0.0949521;1.05485;
0.0301218;0.0271222;1.1106;
0.0645741;0.059361;1.08782;
0.00734173;0.00860411;1.17195;
0.0306956;0.0271597;1.13019;
0.0146534;0.0136425;1.0741;
0.0932064;0.0761559;1.22389;
0.00914966;0.00614618;1.48867;
0.131883;0.117799;1.11956;
0.0215011;0.0233374;1.0854;
0.00191981;0.00250155;1.30302;
0.0106909;0.00890158;1.20101;
0.00515192;0.00448539;1.1486;
0.0286042;0.0278418;1.02738;
0.14373;0.116011;1.23894;
0.115273;0.113207;1.01826;
0.109585;0.112569;1.02723;
0.0245843;0.0252391;1.02663;
0.00470469;0.00438269;1.07347;
