filename;Temps-calculs(s);optimum;N;M;N*M
../../keptInstances/knapPI_13_20_1000_66.in;0.0305116;13360;20;11976;239520
../../keptInstances/knapPI_11_20_1000_87.in;0.0104745;9065;20;3694;73880
../../keptInstances/knapPI_11_20_1000_89.in;0.014309;14314;20;4846;96920
../../keptInstances/knapPI_11_50_1000_39.in;0.0532649;15024;50;9715;485750
../../keptInstances/knapPI_11_50_1000_17.in;0.0349943;12090;50;7010;350500
../../keptInstances/knapPI_12_50_1000_66.in;0.120748;20793;50;19583;979150
../../keptInstances/knapPI_16_20_1000_99.in;0.0253319;15187;20;9848;196960
../../keptInstances/knapPI_14_50_1000_73.in;0.114611;26961;50;18268;913400
../../keptInstances/knapPI_12_20_1000_6.in;0.00209181;1330;20;1180;23600
../../keptInstances/knapPI_14_20_1000_78.in;0.0134943;8826;20;5272;105440
../../keptInstances/knapPI_11_50_1000_30.in;0.0248635;16006;50;4219;210950
../../keptInstances/knapPI_13_20_1000_34.in;0.00587403;4183;20;2590;51800
../../keptInstances/knapPI_16_50_1000_32.in;0.0458211;17894;50;7670;383500
../../keptInstances/knapPI_12_100_1000_31.in;0.0689118;8745;100;6448;644800
../../keptInstances/knapPI_15_20_1000_25.in;0.00486712;2403;20;2396;47920
../../keptInstances/knapPI_14_50_1000_62.in;0.0988056;24331;50;15931;796550
../../keptInstances/knapPI_14_20_1000_46.in;0.0123075;8133;20;5554;111080
../../keptInstances/knapPI_11_50_1000_42.in;0.0799276;22518;50;13835;691750
../../keptInstances/knapPI_11_20_1000_64.in;0.0195891;4404;20;8819;176380
../../keptInstances/knapPI_16_20_1000_65.in;0.0125134;11139;20;5274;105480
../../keptInstances/knapPI_15_50_1000_9.in;0.00949819;2049;50;2035;101750
../../keptInstances/knapPI_15_20_1000_89.in;0.0265026;10803;20;10788;215760
../../keptInstances/knapPI_12_20_1000_13.in;0.00303515;2002;20;1858;37160
../../keptInstances/knapPI_16_50_1000_28.in;0.0309004;15770;50;5668;283400
../../keptInstances/knapPI_12_50_1000_16.in;0.031858;6105;50;6833;341650
../../keptInstances/knapPI_13_20_1000_89.in;0.0277831;13857;20;12084;241680
../../keptInstances/knapPI_11_50_1000_57.in;0.0613528;16522;50;12106;605300
../../keptInstances/knapPI_12_20_1000_51.in;0.0142292;7413;20;7140;142800
../../keptInstances/knapPI_12_50_1000_60.in;0.101373;19804;50;17628;881400
../../keptInstances/knapPI_14_20_1000_80.in;0.0153003;10338;20;6373;127460
../../keptInstances/knapPI_14_50_1000_52.in;0.0764952;20450;50;12850;642500
../../keptInstances/knapPI_15_20_1000_77.in;0.015623;6819;20;6802;136040
../../keptInstances/knapPI_14_50_1000_25.in;0.0312282;11880;50;5782;289100
../../keptInstances/knapPI_11_100_1000_2.in;0.00786927;3990;100;900;90000
../../keptInstances/knapPI_16_20_1000_56.in;0.0126698;10743;20;5544;110880
../../keptInstances/knapPI_16_20_1000_72.in;0.0188179;12194;20;7498;149960
../../keptInstances/knapPI_12_20_1000_35.in;0.00309678;1406;20;1602;32040
../../keptInstances/knapPI_15_20_1000_14.in;0.00236745;1341;20;1333;26660
../../keptInstances/knapPI_11_20_1000_98.in;0.0237721;12836;20;10518;210360
../../keptInstances/knapPI_12_20_1000_75.in;0.016044;7979;20;7185;143700
../../keptInstances/knapPI_12_20_1000_72.in;0.0268842;12453;20;12628;252560
../../keptInstances/knapPI_11_20_1000_75.in;0.015941;10017;20;7185;143700
../../keptInstances/knapPI_14_100_1000_13.in;0.0682075;14179;100;6679;667900
../../keptInstances/knapPI_14_50_1000_17.in;0.0230043;9494;50;4497;224850
../../keptInstances/knapPI_14_50_1000_40.in;0.0615916;17133;50;10634;531700
../../keptInstances/knapPI_15_20_1000_35.in;0.00650809;3198;20;3185;63700
../../keptInstances/knapPI_11_20_1000_82.in;0.036403;8043;20;15584;311680
../../keptInstances/knapPI_16_50_1000_34.in;0.0513171;18668;50;8406;420300
../../keptInstances/knapPI_15_50_1000_70.in;0.114953;18432;50;18391;919550
../../keptInstances/knapPI_12_20_1000_29.in;0.00206366;938;20;988;19760
../../keptInstances/knapPI_16_50_1000_51.in;0.0757594;24673;50;12084;604200
../../keptInstances/knapPI_12_20_1000_34.in;0.00679384;2697;20;3212;64240
../../keptInstances/knapPI_12_50_1000_33.in;0.0639302;11634;50;10761;538050
../../keptInstances/knapPI_14_20_1000_93.in;0.0222121;11732;20;7722;154440
../../keptInstances/knapPI_12_50_1000_5.in;0.00547293;1485;50;1303;65150
../../keptInstances/knapPI_13_50_1000_10.in;0.0167966;4056;50;3296;164800
../../keptInstances/knapPI_15_50_1000_4.in;0.00464911;1011;50;1001;50050
../../keptInstances/knapPI_16_50_1000_52.in;0.0825518;24745;50;12850;642500
../../keptInstances/knapPI_16_20_1000_66.in;0.0191566;12792;20;7712;154240
../../keptInstances/knapPI_16_20_1000_77.in;0.0167951;12261;20;6802;136040
../../keptInstances/knapPI_13_20_1000_5.in;0.00129512;1326;20;830;16600
../../keptInstances/knapPI_16_20_1000_45.in;0.0113371;9234;20;5030;100600
../../keptInstances/knapPI_16_20_1000_90.in;0.0260023;16459;20;10560;211200
../../keptInstances/knapPI_14_20_1000_51.in;0.00970173;7259;20;4192;83840
../../keptInstances/knapPI_13_50_1000_27.in;0.0490274;11336;50;9329;466450
../../keptInstances/knapPI_15_20_1000_13.in;0.00209751;1200;20;1190;23800
../../keptInstances/knapPI_15_20_1000_30.in;0.00607825;3006;20;2994;59880
../../keptInstances/knapPI_11_50_1000_7.in;0.00899482;1818;50;2111;105550
../../keptInstances/knapPI_13_50_1000_12.in;0.0143437;3766;50;3064;153200
../../keptInstances/knapPI_13_200_1000_5.in;0.0595687;5202;200;3172;634400
../../keptInstances/knapPI_11_20_1000_67.in;0.0165135;2706;20;8330;166600
../../keptInstances/knapPI_13_50_1000_16.in;0.0251235;6440;50;5323;266150
../../keptInstances/knapPI_14_20_1000_64.in;0.0151631;9904;20;6706;134120
../../keptInstances/knapPI_16_50_1000_8.in;0.00854188;6163;50;1853;92650
../../keptInstances/knapPI_13_100_1000_3.in;0.0119831;1760;100;1309;130900
../../keptInstances/knapPI_14_20_1000_54.in;0.0152966;9483;20;6485;129700
../../keptInstances/knapPI_15_50_1000_40.in;0.0657669;10674;50;10634;531700
../../keptInstances/knapPI_15_20_1000_60.in;0.0137964;5445;20;5431;108620
../../keptInstances/knapPI_11_50_1000_87.in;0.0785318;26967;50;11689;584450
../../keptInstances/knapPI_13_50_1000_13.in;0.0268431;6424;50;5552;277600
../../keptInstances/knapPI_16_50_1000_25.in;0.0320976;14942;50;5782;289100
../../keptInstances/knapPI_11_20_1000_52.in;0.0186938;7811;20;9265;185300
